Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor,Price_Increase
1980-06-23,13.832456589,14.161089897,13.832456589,14.071462631,0.936361829,2290740.0,,2,0.066543319,Up
1980-06-24,14.071462631,,13.981836319,14.190965652,0.944313957,1860625.0,0.0,9,0.066543319,Up
1980-06-25,14.190965652,14.40009594,14.101338387,14.280592918,0.950278053,2393666.0,0.0,4,0.066543319,Up
1980-06-26,14.280592918,14.40009594,14.131214142,14.161089897,,2038445.0,0.0,4,0.066543319,Down
1980-06-27,14.161089897,14.340344429,14.041586876,14.280592918,0.950278053,1427162.0,0.0,6,,Up
1980-06-30,14.220841408,14.220841408,13.95195961,14.041586876,0.934373797,1268170.0,,10,0.066543319,Down
1980-07-01,14.041586876,14.250717163,13.95195961,14.220841408,0.946301989,1702888.0,0.0,4,0.066543319,Up
1980-07-02,14.220841408,14.579350471,14.190965652,14.489723206,0.964194276,2673994.0,0.0,7,0.066543319,Up
1980-07-03,14.489723206,14.698852539,14.489723206,14.609226227,0.972146404,,0.0,1,0.066543319,Up
,14.609226227,14.878107071,14.579350471,14.81835556,0.986062564,2462284.0,0.0,2,0.066543319,Up
1980-07-08,,14.878107071,14.639101028,14.75860405,0.9820865,2104552.0,0.0,5,0.066543319,Down
1980-07-09,14.75860405,15.027485847,,14.698852539,0.978110436,1999115.0,0.0,2,0.066543319,Down
1980-07-10,14.698852539,14.907982826,14.639101028,14.728728294,0.980098468,1472350.0,0.0,4,0.066543319,Up
1980-07-11,14.728728294,15.027485847,14.728728294,14.997610092,0.997990755,1804559.0,0.0,1,0.066543319,Up
1980-07-14,14.997610092,15.535372734,14.997610092,15.535372734,1.033775266,2112083.0,0.0,8,0.066543319,Up
1980-07-15,,15.595124245,15.236616135,15.236616135,1.013895011,2315007.0,0.0,4,,Down
1980-07-16,15.236616135,15.445746422,15.206740379,15.356119156,1.021847138,2210407.0,0.0,1,0.066543319,Up
1980-07-17,15.356119156,15.684750557,15.296366692,15.684750557,1.043715362,,0.0,3,0.066543319,Up
1980-07-18,,15.714627266,15.505496979,15.565249443,,,0.0,5,0.066543319,Down
1980-07-21,15.565249443,15.774378777,15.356119156,15.774378777,1.049679522,1829245.0,0.0,1,0.066543319,Up
1980-07-22,15.774378777,15.804253578,15.475621223,15.565249443,1.035763362,2313752.0,0.0,1,0.066543319,Down
1980-07-23,15.565249443,15.625,,15.505496979,1.031787234,1878616.0,0.0,5,0.066543319,Down
1980-07-24,15.505496979,15.535372734,15.356119156,15.475621223,1.029799202,1662722.0,,4,0.066543319,Down
1980-07-25,15.445746422,15.445746422,15.266490936,15.385993958,1.023835107,1572347.0,0.0,5,0.066543319,Down
1980-07-28,15.385993958,15.595124245,15.296366692,15.535372734,1.033775266,1133027.0,0.0,9,0.066543319,Up
1980-07-29,15.535372734,15.654875755,15.385993958,15.565249443,1.035763362,1717950.0,0.0,0,0.066543319,Up
1980-07-30,15.565249443,15.774378777,15.565249443,15.654875755,1.041727394,,0.0,3,0.066543319,Up
1980-07-31,15.625,15.625,15.385993958,15.595124245,1.03775133,2694914.0,0.0,6,0.066543319,Down
1980-08-01,15.595124245,15.625,15.385993958,15.565249443,1.035763362,1885729.0,0.0,1,0.066543319,Down
1980-08-04,15.535372734,15.535372734,15.415869713,15.475621223,1.029799202,1563142.0,0.0,4,0.066543319,Down
1980-08-05,15.475621223,15.625,15.326243401,15.356119156,1.021847138,1321307.0,0.0,9,0.066543319,Down
1980-08-06,15.356119156,15.684750557,15.296366692,15.684750557,1.043715362,1676947.0,0.0,8,0.066543319,Up
1980-08-07,15.684750557,,15.475621223,15.714627266,1.045703458,2139698.0,0.21,2,0.066543319,Up
1980-08-08,15.714627266,15.834130287,15.595124245,15.595124245,1.051504858,3118335.0,0.0,1,0.067425231,Down
1980-08-11,15.595124245,15.953633308,15.565249443,15.953633308,1.075677415,1775690.0,0.0,4,0.067425231,Up
1980-08-12,15.953633308,16.252389908,15.864006042,15.953633308,1.075677415,2940934.0,0.0,6,0.067425231,Down
1980-08-13,15.953633308,16.132886887,15.893880844,15.953633308,1.075677415,1892005.0,0.0,3,0.067425231,Down
1980-08-14,15.953633308,16.521272659,15.953633308,16.461519241,1.109921741,1977777.0,0.0,5,0.067425231,Up
1980-08-15,16.461519241,16.521272659,16.312141418,16.43164444,1.107907426,2163128.0,0.0,4,,Down
1980-08-18,16.252389908,16.252389908,15.864006042,15.864006042,1.069634276,2304966.0,0.0,8,0.067425231,Down
1980-08-19,15.864006042,16.013383865,15.744503021,15.774378777,1.063591136,1891168.0,0.0,3,0.067425231,Down
,15.774378777,16.222513199,15.744503021,15.983509064,1.077691794,1421723.0,0.0,10,0.067425231,Up
1980-08-21,15.983509064,16.192638397,15.923756599,16.132886887,1.087763629,1144742.0,0.0,8,0.067425231,Up
1980-08-22,16.132886887,16.461519241,16.103010178,16.103010178,1.085749185,1713766.0,0.0,9,0.067425231,Down
1980-08-25,16.103010178,,15.923756599,16.043260574,1.081720554,1028846.0,0.0,9,0.067425231,Down
1980-08-26,16.043260574,16.192638397,15.923756599,15.953633308,1.075677415,,0.0,6,0.067425231,Down
1980-08-27,15.953633308,16.013383865,15.744503021,,1.061576757,2476510.0,0.0,7,0.067425231,Down
